id,hostname,ip,os,cpu,ram_gb,disk_gb,status,uptime_days
742,server-0742,192.168.82.44,Ubuntu 22.04,2,4,2000,offline,343
743,server-0743,192.168.21.212,CentOS 8,2,4,2000,maintenance,80
744,server-0744,192.168.219.45,CentOS 8,32,32,1000,online,339
745,server-0745,192.168.181.95,Windows Server 2022,2,4,2000,maintenance,47
746,server-0746,192.168.23.143,Windows Server 2022,4,16,1000,online,259
747,server-0747,192.168.201.67,CentOS 8,2,64,2000,maintenance,30
748,server-0748,192.168.168.27,Debian 12,32,16,500,online,50
749,server-0749,192.168.214.64,CentOS 8,16,64,2000,offline,138
750,server-0750,192.168.82.222,Windows Server 2022,2,64,2000,online,83
751,server-0751,192.168.9.164,Debian 12,16,8,500,maintenance,93
752,server-0752,192.168.8.191,CentOS 8,32,8,2000,online,300
753,server-0753,192.168.17.99,Debian 12,4,4,500,online,359
754,server-0754,192.168.227.64,Ubuntu 22.04,32,32,500,maintenance,17
755,server-0755,192.168.152.170,Ubuntu 22.04,16,16,1000,maintenance,278
756,server-0756,192.168.186.227,Windows Server 2022,8,64,2000,online,82
757,server-0757,192.168.224.25,Ubuntu 22.04,32,64,500,maintenance,122
758,server-0758,192.168.90.138,Ubuntu 22.04,16,4,100,online,320
759,server-0759,192.168.104.34,Ubuntu 22.04,32,4,100,offline,85
760,server-0760,192.168.7.176,Debian 12,4,64,2000,maintenance,295
761,server-0761,192.168.182.180,Windows Server 2022,8,8,1000,maintenance,330
762,server-0762,192.168.37.182,Ubuntu 22.04,32,32,2000,offline,75
763,server-0763,192.168.89.2,Debian 12,8,4,100,offline,153
764,server-0764,192.168.35.166,Ubuntu 22.04,32,4,500,offline,283
765,server-0765,192.168.187.95,Ubuntu 22.04,2,32,1000,offline,347
766,server-0766,192.168.84.32,Debian 12,4,4,1000,offline,342
767,server-0767,192.168.102.53,Windows Server 2022,8,8,1000,maintenance,157
768,server-0768,192.168.79.176,Debian 12,4,64,1000,online,249
769,server-0769,192.168.157.181,CentOS 8,32,64,2000,offline,44
770,server-0770,192.168.68.125,Ubuntu 22.04,2,4,1000,offline,241
771,server-0771,192.168.244.182,Windows Server 2022,2,16,1000,online,30
772,server-0772,192.168.151.26,CentOS 8,8,32,1000,maintenance,188
773,server-0773,192.168.240.245,Ubuntu 22.04,16,8,100,maintenance,68
774,server-0774,192.168.208.140,CentOS 8,8,8,500,offline,59
775,server-0775,192.168.80.166,Ubuntu 22.04,8,4,500,maintenance,347
776,server-0776,192.168.181.2,CentOS 8,2,4,100,maintenance,318
777,server-0777,192.168.124.129,CentOS 8,8,32,100,online,116
778,server-0778,192.168.2.71,Ubuntu 22.04,8,4,100,maintenance,281
779,server-0779,192.168.193.147,Ubuntu 22.04,2,4,500,maintenance,285
780,server-0780,192.168.138.9,Debian 12,2,4,2000,online,70
781,server-0781,192.168.32.115,CentOS 8,2,32,2000,offline,187
782,server-0782,192.168.32.120,Windows Server 2022,8,32,500,offline,290
783,server-0783,192.168.242.79,Debian 12,4,16,1000,maintenance,190
784,server-0784,192.168.214.58,Windows Server 2022,2,8,500,maintenance,306
785,server-0785,192.168.226.232,Debian 12,32,8,1000,online,308
786,server-0786,192.168.50.32,CentOS 8,8,32,2000,maintenance,147
787,server-0787,192.168.100.54,Ubuntu 22.04,16,4,2000,maintenance,106
788,server-0788,192.168.68.119,Ubuntu 22.04,8,64,1000,online,305
789,server-0789,192.168.85.151,Debian 12,2,64,100,offline,122
790,server-0790,192.168.205.67,Windows Server 2022,2,32,100,online,246
791,server-0791,192.168.10.57,Windows Server 2022,16,8,1000,offline,84
792,server-0792,192.168.97.192,Debian 12,4,8,500,offline,206
793,server-0793,192.168.242.250,CentOS 8,2,4,1000,offline,353
794,server-0794,192.168.200.183,Debian 12,4,8,100,online,35
795,server-0795,192.168.28.21,Ubuntu 22.04,4,64,2000,maintenance,348
796,server-0796,192.168.185.115,Debian 12,2,8,500,maintenance,149
797,server-0797,192.168.145.144,Windows Server 2022,32,8,100,offline,94
798,server-0798,192.168.72.177,Debian 12,8,32,2000,offline,265
799,server-0799,192.168.63.125,Ubuntu 22.04,4,32,1000,maintenance,185
800,server-0800,192.168.123.32,Ubuntu 22.04,16,64,2000,maintenance,332
801,server-0801,192.168.141.131,Ubuntu 22.04,32,16,2000,online,13
802,server-0802,192.168.81.37,CentOS 8,16,4,1000,online,300
803,server-0803,192.168.194.168,Debian 12,2,4,100,offline,98
804,server-0804,192.168.43.248,Ubuntu 22.04,8,32,500,online,296
805,server-0805,192.168.86.9,Ubuntu 22.04,32,64,100,offline,200
806,server-0806,192.168.7.81,Ubuntu 22.04,4,16,100,offline,154
807,server-0807,192.168.137.31,Debian 12,8,4,2000,online,247
808,server-0808,192.168.1.232,CentOS 8,8,16,1000,maintenance,53
809,server-0809,192.168.181.56,Windows Server 2022,16,4,500,maintenance,252
810,server-0810,192.168.17.155,Ubuntu 22.04,8,64,2000,maintenance,87
811,server-0811,192.168.188.41,Ubuntu 22.04,2,4,100,online,89
812,server-0812,192.168.39.179,CentOS 8,2,8,100,online,54
813,server-0813,192.168.197.59,CentOS 8,8,64,100,online,345
814,server-0814,192.168.164.122,CentOS 8,4,16,100,offline,279
815,server-0815,192.168.240.53,Debian 12,4,4,100,maintenance,150
816,server-0816,192.168.79.44,CentOS 8,2,16,1000,online,169
817,server-0817,192.168.216.121,Windows Server 2022,4,4,500,offline,327
818,server-0818,192.168.255.94,Debian 12,32,32,1000,offline,254
819,server-0819,192.168.123.194,Windows Server 2022,16,64,500,offline,158
820,server-0820,192.168.107.81,Ubuntu 22.04,16,32,1000,maintenance,23
821,server-0821,192.168.19.164,CentOS 8,16,64,100,offline,46
822,server-0822,192.168.222.220,Debian 12,32,4,2000,offline,59
823,server-0823,192.168.15.111,Debian 12,4,8,2000,offline,226
824,server-0824,192.168.178.247,Windows Server 2022,32,64,500,offline,337
825,server-0825,192.168.238.234,Windows Server 2022,8,4,2000,maintenance,279
826,server-0826,192.168.39.221,Debian 12,2,32,2000,maintenance,150
827,server-0827,192.168.223.70,Debian 12,4,64,100,online,288
828,server-0828,192.168.175.248,CentOS 8,32,16,1000,online,291
829,server-0829,192.168.39.36,Debian 12,16,8,1000,online,196
830,server-0830,192.168.142.101,Debian 12,4,64,500,maintenance,356
831,server-0831,192.168.11.35,Windows Server 2022,32,32,500,online,54
832,server-0832,192.168.50.235,Ubuntu 22.04,4,8,1000,online,111
833,server-0833,192.168.29.91,CentOS 8,2,8,1000,online,180
834,server-0834,192.168.225.230,Ubuntu 22.04,2,4,2000,maintenance,4
835,server-0835,192.168.31.18,CentOS 8,32,8,2000,online,207
836,server-0836,192.168.162.15,Debian 12,2,4,1000,maintenance,107
837,server-0837,192.168.8.120,CentOS 8,8,64,1000,offline,278
838,server-0838,192.168.20.30,Debian 12,32,4,2000,online,272
839,server-0839,192.168.206.146,Debian 12,2,8,500,offline,173
840,server-0840,192.168.201.72,Debian 12,32,16,100,online,237
841,server-0841,192.168.128.112,Debian 12,2,4,1000,online,198
842,server-0842,192.168.17.104,Windows Server 2022,16,64,100,online,349
843,server-0843,192.168.128.170,Windows Server 2022,16,4,1000,offline,118
844,server-0844,192.168.83.148,Debian 12,4,32,500,online,253
845,server-0845,192.168.207.57,Windows Server 2022,16,8,500,online,115
846,server-0846,192.168.45.17,Ubuntu 22.04,16,64,100,online,323
847,server-0847,192.168.86.175,Windows Server 2022,2,32,500,offline,158
848,server-0848,192.168.200.207,Debian 12,4,4,100,offline,313
849,server-0849,192.168.93.154,Debian 12,16,8,2000,offline,364
850,server-0850,192.168.102.151,CentOS 8,4,4,1000,online,228
851,server-0851,192.168.12.152,Debian 12,4,4,500,maintenance,354
852,server-0852,192.168.197.209,Debian 12,4,32,100,maintenance,236
853,server-0853,192.168.196.88,Windows Server 2022,32,64,2000,maintenance,205
854,server-0854,192.168.118.150,Ubuntu 22.04,4,8,2000,maintenance,54
855,server-0855,192.168.69.203,Debian 12,4,32,1000,online,363
856,server-0856,192.168.112.152,CentOS 8,2,32,500,maintenance,252
857,server-0857,192.168.118.243,CentOS 8,8,64,2000,maintenance,268
858,server-0858,192.168.251.1,Debian 12,2,64,100,maintenance,297
859,server-0859,192.168.155.99,Ubuntu 22.04,32,64,100,online,346
860,server-0860,192.168.154.152,Ubuntu 22.04,4,16,2000,online,28
861,server-0861,192.168.180.82,Debian 12,32,16,500,offline,302
862,server-0862,192.168.193.194,Ubuntu 22.04,32,4,1000,online,304
863,server-0863,192.168.149.191,Debian 12,2,16,100,online,174
864,server-0864,192.168.204.37,CentOS 8,16,4,500,offline,175
865,server-0865,192.168.251.124,Ubuntu 22.04,32,16,100,offline,64
866,server-0866,192.168.97.86,Windows Server 2022,4,8,100,offline,206
867,server-0867,192.168.23.180,Windows Server 2022,16,16,2000,online,2
868,server-0868,192.168.87.23,Debian 12,4,16,100,online,351
869,server-0869,192.168.121.204,CentOS 8,8,32,500,online,47
870,server-0870,192.168.163.250,Ubuntu 22.04,16,16,500,online,234
871,server-0871,192.168.84.11,Debian 12,8,32,2000,online,31
872,server-0872,192.168.60.175,Windows Server 2022,8,16,2000,offline,86
873,server-0873,192.168.230.27,CentOS 8,2,8,100,online,169
874,server-0874,192.168.143.3,Ubuntu 22.04,16,8,500,online,212
875,server-0875,192.168.75.100,CentOS 8,32,16,500,offline,306
876,server-0876,192.168.66.74,Ubuntu 22.04,16,32,500,maintenance,186
877,server-0877,192.168.167.78,CentOS 8,8,4,100,online,183
878,server-0878,192.168.10.101,Debian 12,4,16,500,online,246
879,server-0879,192.168.141.169,CentOS 8,32,32,100,maintenance,77
880,server-0880,192.168.213.46,CentOS 8,8,64,100,maintenance,352
881,server-0881,192.168.89.55,Debian 12,8,64,500,online,37
882,server-0882,192.168.218.87,CentOS 8,4,4,500,offline,358
883,server-0883,192.168.216.188,CentOS 8,32,8,500,maintenance,118
884,server-0884,192.168.204.224,Debian 12,4,64,100,online,60
885,server-0885,192.168.18.114,Ubuntu 22.04,16,64,500,online,76
886,server-0886,192.168.79.79,Windows Server 2022,32,32,100,maintenance,359
887,server-0887,192.168.36.50,CentOS 8,8,4,1000,online,223
888,server-0888,192.168.3.214,Ubuntu 22.04,8,32,500,maintenance,10
889,server-0889,192.168.16.201,CentOS 8,32,64,2000,offline,295
890,server-0890,192.168.48.228,CentOS 8,4,16,500,maintenance,231
891,server-0891,192.168.50.228,Windows Server 2022,32,64,2000,offline,101
892,server-0892,192.168.31.77,Debian 12,8,8,100,offline,339
893,server-0893,192.168.102.95,Ubuntu 22.04,8,8,2000,maintenance,278
894,server-0894,192.168.13.228,Debian 12,2,64,500,offline,176
895,server-0895,192.168.73.28,Ubuntu 22.04,4,16,1000,maintenance,37
896,server-0896,192.168.44.237,Debian 12,8,16,500,offline,363
897,server-0897,192.168.21.158,Windows Server 2022,4,4,500,online,251
898,server-0898,192.168.65.65,Windows Server 2022,32,8,500,online,291
899,server-0899,192.168.6.163,Debian 12,2,16,1000,maintenance,158
900,server-0900,192.168.75.107,Debian 12,8,16,2000,offline,122
901,server-0901,192.168.132.185,Ubuntu 22.04,16,4,2000,maintenance,337
902,server-0902,192.168.195.234,Ubuntu 22.04,32,32,100,maintenance,360
903,server-0903,192.168.209.209,Ubuntu 22.04,8,16,100,online,127
904,server-0904,192.168.26.55,Ubuntu 22.04,2,4,500,online,29
905,server-0905,192.168.131.233,Ubuntu 22.04,2,4,1000,maintenance,135
906,server-0906,192.168.179.200,Windows Server 2022,32,16,500,maintenance,104
907,server-0907,192.168.26.123,Debian 12,32,64,1000,online,156
908,server-0908,192.168.165.236,CentOS 8,8,32,500,offline,80
909,server-0909,192.168.155.4,CentOS 8,4,64,500,online,171
910,server-0910,192.168.240.170,Windows Server 2022,8,8,500,maintenance,224
911,server-0911,192.168.254.120,Ubuntu 22.04,16,32,1000,offline,150
912,server-0912,192.168.207.90,Debian 12,32,8,100,maintenance,216
913,server-0913,192.168.171.179,CentOS 8,8,4,100,maintenance,311
914,server-0914,192.168.222.159,CentOS 8,32,32,1000,online,321
915,server-0915,192.168.80.192,CentOS 8,16,32,100,maintenance,156
916,server-0916,192.168.18.53,CentOS 8,16,8,500,maintenance,210
917,server-0917,192.168.175.160,Ubuntu 22.04,8,32,500,maintenance,154
918,server-0918,192.168.214.1,Debian 12,8,32,1000,offline,232
919,server-0919,192.168.207.150,Windows Server 2022,32,4,1000,maintenance,258
920,server-0920,192.168.143.232,Windows Server 2022,4,32,1000,offline,199
921,server-0921,192.168.136.28,Windows Server 2022,8,64,2000,maintenance,331
922,server-0922,192.168.164.81,Debian 12,4,8,100,online,109
923,server-0923,192.168.204.227,Ubuntu 22.04,4,4,1000,offline,344
924,server-0924,192.168.237.101,Ubuntu 22.04,2,16,1000,offline,286
925,server-0925,192.168.187.222,Ubuntu 22.04,16,16,2000,offline,117
926,server-0926,192.168.99.15,Ubuntu 22.04,4,64,100,maintenance,278
927,server-0927,192.168.67.75,Ubuntu 22.04,16,8,500,maintenance,295
928,server-0928,192.168.82.248,CentOS 8,4,8,2000,online,117
929,server-0929,192.168.93.51,Ubuntu 22.04,2,32,2000,online,41
930,server-0930,192.168.97.12,Ubuntu 22.04,4,4,500,online,250
931,server-0931,192.168.201.214,Ubuntu 22.04,16,8,1000,offline,233
932,server-0932,192.168.4.33,CentOS 8,8,64,500,offline,363
933,server-0933,192.168.82.158,Debian 12,16,64,500,online,317
934,server-0934,192.168.83.6,Ubuntu 22.04,32,8,2000,maintenance,347
935,server-0935,192.168.90.192,Windows Server 2022,32,4,2000,maintenance,289
936,server-0936,192.168.139.106,Windows Server 2022,32,8,1000,offline,188
937,server-0937,192.168.87.169,CentOS 8,4,4,2000,maintenance,33
938,server-0938,192.168.70.31,Debian 12,32,16,1000,offline,317
939,server-0939,192.168.214.21,Debian 12,2,8,2000,offline,313
940,server-0940,192.168.185.45,Debian 12,32,4,500,maintenance,46
941,server-0941,192.168.138.117,Debian 12,32,64,500,online,144
942,server-0942,192.168.129.17,CentOS 8,32,16,2000,online,290
943,server-0943,192.168.111.3,Ubuntu 22.04,16,16,500,online,113
944,server-0944,192.168.101.189,Debian 12,32,32,1000,maintenance,122
945,server-0945,192.168.186.164,Debian 12,32,4,500,online,141
946,server-0946,192.168.18.185,CentOS 8,2,32,100,maintenance,227
947,server-0947,192.168.47.95,Windows Server 2022,4,8,500,maintenance,203
948,server-0948,192.168.32.166,Windows Server 2022,2,16,100,online,314
949,server-0949,192.168.39.64,Debian 12,32,16,500,maintenance,197
950,server-0950,192.168.84.44,Windows Server 2022,32,64,100,offline,171
951,server-0951,192.168.67.207,Debian 12,4,32,500,maintenance,319
952,server-0952,192.168.134.58,CentOS 8,4,8,2000,offline,0
953,server-0953,192.168.36.46,Debian 12,32,32,2000,online,258
954,server-0954,192.168.251.29,Debian 12,2,64,2000,maintenance,265
955,server-0955,192.168.46.115,Windows Server 2022,2,16,100,maintenance,198
956,server-0956,192.168.241.46,Debian 12,4,4,1000,offline,342
957,server-0957,192.168.225.206,Windows Server 2022,4,16,1000,offline,7
958,server-0958,192.168.9.138,CentOS 8,16,16,100,online,134
959,server-0959,192.168.14.104,Ubuntu 22.04,32,16,2000,offline,73
960,server-0960,192.168.250.185,CentOS 8,8,32,1000,online,39
961,server-0961,192.168.87.75,CentOS 8,16,64,2000,online,93
962,server-0962,192.168.137.214,Debian 12,16,64,2000,online,8
963,server-0963,192.168.0.219,CentOS 8,4,16,100,online,93
964,server-0964,192.168.69.7,CentOS 8,32,16,100,online,350
965,server-0965,192.168.234.129,Debian 12,32,8,2000,maintenance,136
966,server-0966,192.168.27.243,Ubuntu 22.04,32,32,100,offline,205
967,server-0967,192.168.186.228,Debian 12,16,32,500,maintenance,148
968,server-0968,192.168.144.177,Windows Server 2022,4,64,2000,online,26
969,server-0969,192.168.25.187,CentOS 8,8,4,1000,maintenance,347
970,server-0970,192.168.182.68,CentOS 8,8,32,2000,online,196
971,server-0971,192.168.79.60,Windows Server 2022,32,32,100,online,186
972,server-0972,192.168.234.168,Ubuntu 22.04,8,64,500,offline,336
973,server-0973,192.168.134.70,Ubuntu 22.04,32,8,500,online,344
974,server-0974,192.168.232.166,Ubuntu 22.04,32,16,500,online,24
975,server-0975,192.168.128.18,Windows Server 2022,4,16,500,online,212
976,server-0976,192.168.169.197,Debian 12,32,64,500,maintenance,128
977,server-0977,192.168.229.108,Windows Server 2022,8,32,1000,online,31
978,server-0978,192.168.110.247,Ubuntu 22.04,8,32,500,maintenance,6
979,server-0979,192.168.176.175,Debian 12,16,64,500,offline,358
980,server-0980,192.168.243.138,Debian 12,2,64,500,offline,58
981,server-0981,192.168.158.78,CentOS 8,2,8,2000,online,355
982,server-0982,192.168.211.4,Ubuntu 22.04,32,4,2000,offline,330
983,server-0983,192.168.187.24,Ubuntu 22.04,2,64,2000,maintenance,163
984,server-0984,192.168.243.26,Ubuntu 22.04,16,32,1000,maintenance,351
985,server-0985,192.168.113.150,CentOS 8,2,32,1000,online,104
986,server-0986,192.168.195.51,CentOS 8,2,16,2000,offline,316
987,server-0987,192.168.29.110,Windows Server 2022,32,4,1000,online,175
988,server-0988,192.168.65.160,Ubuntu 22.04,16,16,2000,maintenance,103
989,server-0989,192.168.195.68,Ubuntu 22.04,2,8,500,online,154
990,server-0990,192.168.206.155,Windows Server 2022,2,16,1000,online,271
991,server-0991,192.168.216.136,Windows Server 2022,32,64,500,offline,314
992,server-0992,192.168.228.158,CentOS 8,16,4,2000,offline,86
993,server-0993,192.168.237.88,Debian 12,16,4,500,offline,330
994,server-0994,192.168.200.99,Ubuntu 22.04,16,4,500,online,263
995,server-0995,192.168.240.81,CentOS 8,8,4,1000,online,41
996,server-0996,192.168.98.222,CentOS 8,8,4,2000,maintenance,244
997,server-0997,192.168.18.173,CentOS 8,4,64,2000,online,137
998,server-0998,192.168.196.247,Ubuntu 22.04,16,4,100,offline,331
999,server-0999,192.168.185.47,Debian 12,2,4,500,maintenance,225
1000,server-1000,192.168.48.25,Debian 12,8,32,500,maintenance,319
1001,server-1001,192.168.163.47,Debian 12,16,16,500,offline,183
1002,server-1002,192.168.116.178,Debian 12,32,8,500,online,184
1003,server-1003,192.168.134.252,Windows Server 2022,8,8,1000,online,190
1004,server-1004,192.168.196.71,Debian 12,4,16,1000,maintenance,324
1005,server-1005,192.168.16.4,CentOS 8,32,64,100,offline,318
1006,server-1006,192.168.11.242,Ubuntu 22.04,16,8,2000,offline,142
1007,server-1007,192.168.145.29,CentOS 8,4,64,500,online,247
1008,server-1008,192.168.249.202,Ubuntu 22.04,4,32,2000,online,279
1009,server-1009,192.168.132.176,Debian 12,2,8,100,offline,64
1010,server-1010,192.168.158.69,CentOS 8,4,8,500,offline,353
1011,server-1011,192.168.255.239,Debian 12,32,4,100,online,89
1012,server-1012,192.168.53.225,CentOS 8,2,16,500,offline,128
1013,server-1013,192.168.107.253,Windows Server 2022,2,32,100,maintenance,72
1014,server-1014,192.168.10.176,Ubuntu 22.04,8,16,500,maintenance,59
1015,server-1015,192.168.153.157,Windows Server 2022,2,16,1000,maintenance,282
1016,server-1016,192.168.213.139,CentOS 8,4,8,100,online,22
1017,server-1017,192.168.169.229,Ubuntu 22.04,16,64,1000,online,294
1018,server-1018,192.168.229.199,Debian 12,16,8,1000,online,308
1019,server-1019,192.168.159.30,Debian 12,16,16,500,offline,268
1020,server-1020,192.168.21.157,Windows Server 2022,16,8,1000,offline,233
1021,server-1021,192.168.70.162,Debian 12,8,4,100,online,213
1022,server-1022,192.168.96.25,Windows Server 2022,32,4,1000,maintenance,289
1023,server-1023,192.168.42.98,Windows Server 2022,8,32,500,online,11
1024,server-1024,192.168.239.189,Windows Server 2022,8,32,1000,online,229
1025,server-1025,192.168.244.187,Windows Server 2022,4,32,500,online,323
1026,server-1026,192.168.190.63,CentOS 8,32,4,1000,online,137
1027,server-1027,192.168.10.25,Debian 12,2,16,1000,maintenance,307
1028,server-1028,192.168.27.131,CentOS 8,8,8,500,online,101
1029,server-1029,192.168.118.137,CentOS 8,32,64,500,maintenance,150
1030,server-1030,192.168.201.64,CentOS 8,2,16,100,online,329
1031,server-1031,192.168.26.77,Windows Server 2022,16,64,1000,offline,297
1032,server-1032,192.168.54.36,Ubuntu 22.04,16,8,100,offline,322
1033,server-1033,192.168.213.77,Debian 12,16,8,2000,maintenance,94
1034,server-1034,192.168.151.84,Ubuntu 22.04,8,64,500,maintenance,12
1035,server-1035,192.168.199.7,CentOS 8,16,64,500,maintenance,208
1036,server-1036,192.168.76.26,Ubuntu 22.04,4,32,1000,maintenance,198
1037,server-1037,192.168.49.88,Debian 12,4,32,100,maintenance,114
1038,server-1038,192.168.68.224,Ubuntu 22.04,16,16,2000,online,181
1039,server-1039,192.168.125.19,Windows Server 2022,2,8,2000,online,13
1040,server-1040,192.168.80.234,Windows Server 2022,32,16,1000,online,329
1041,server-1041,192.168.171.240,Windows Server 2022,16,8,1000,online,5
1042,server-1042,192.168.148.193,CentOS 8,2,4,500,maintenance,320
1043,server-1043,192.168.19.193,Debian 12,4,8,100,maintenance,180
1044,server-1044,192.168.65.122,Debian 12,4,64,2000,offline,326
1045,server-1045,192.168.229.125,Ubuntu 22.04,2,16,2000,offline,326
1046,server-1046,192.168.221.219,CentOS 8,2,64,2000,maintenance,333
1047,server-1047,192.168.171.29,Ubuntu 22.04,4,8,1000,maintenance,65
1048,server-1048,192.168.4.200,Debian 12,16,4,500,offline,72
1049,server-1049,192.168.123.238,CentOS 8,4,16,1000,offline,184
1050,server-1050,192.168.249.34,Ubuntu 22.04,8,8,1000,online,149
1051,server-1051,192.168.47.155,Windows Server 2022,8,16,1000,offline,220
1052,server-1052,192.168.178.211,CentOS 8,4,8,1000,maintenance,192
1053,server-1053,192.168.110.67,CentOS 8,16,8,500,online,292
1054,server-1054,192.168.230.188,Windows Server 2022,4,16,500,maintenance,178
1055,server-1055,192.168.178.47,Ubuntu 22.04,32,4,500,online,198
1056,server-1056,192.168.189.212,Ubuntu 22.04,2,32,500,offline,217
1057,server-1057,192.168.164.189,Windows Server 2022,8,8,2000,maintenance,94
1058,server-1058,192.168.35.73,Ubuntu 22.04,16,64,2000,maintenance,193
1059,server-1059,192.168.106.163,Debian 12,2,32,2000,maintenance,41
1060,server-1060,192.168.19.199,Debian 12,4,4,1000,online,337
1061,server-1061,192.168.246.135,Debian 12,32,4,100,online,85
1062,server-1062,192.168.107.251,Windows Server 2022,2,16,100,offline,8
1063,server-1063,192.168.128.75,Debian 12,2,64,1000,offline,184
1064,server-1064,192.168.196.228,Debian 12,4,4,100,maintenance,81
1065,server-1065,192.168.244.160,Debian 12,32,8,500,maintenance,246
1066,server-1066,192.168.159.27,Debian 12,8,4,1000,online,186
1067,server-1067,192.168.107.105,Ubuntu 22.04,16,64,2000,maintenance,361
1068,server-1068,192.168.166.238,Debian 12,8,32,500,offline,235
1069,server-1069,192.168.96.133,CentOS 8,32,4,100,offline,252
1070,server-1070,192.168.149.189,Windows Server 2022,4,64,2000,maintenance,70
1071,server-1071,192.168.196.185,Ubuntu 22.04,32,16,500,maintenance,76
1072,server-1072,192.168.159.197,Debian 12,4,32,500,offline,332
1073,server-1073,192.168.61.227,Windows Server 2022,4,64,500,online,322
1074,server-1074,192.168.191.216,Debian 12,2,64,500,online,134
1075,server-1075,192.168.22.121,Ubuntu 22.04,2,32,2000,maintenance,111
1076,server-1076,192.168.105.175,Windows Server 2022,8,64,1000,offline,213
1077,server-1077,192.168.2.31,CentOS 8,16,16,2000,online,314
1078,server-1078,192.168.135.194,Windows Server 2022,8,64,2000,maintenance,87
1079,server-1079,192.168.212.97,Debian 12,2,32,1000,online,45
1080,server-1080,192.168.191.145,CentOS 8,32,64,2000,offline,116
1081,server-1081,192.168.159.144,Windows Server 2022,16,32,2000,offline,341
1082,server-1082,192.168.99.152,Debian 12,4,64,2000,online,209
1083,server-1083,192.168.235.74,Debian 12,16,32,100,online,306
1084,server-1084,192.168.134.130,Ubuntu 22.04,2,16,500,online,25
1085,server-1085,192.168.2.89,Ubuntu 22.04,2,8,500,offline,167
1086,server-1086,192.168.52.51,Ubuntu 22.04,8,64,100,online,344
1087,server-1087,192.168.235.130,Debian 12,16,32,1000,online,123
1088,server-1088,192.168.151.46,Debian 12,2,4,100,offline,236
1089,server-1089,192.168.139.145,CentOS 8,8,32,1000,online,340
1090,server-1090,192.168.151.170,Ubuntu 22.04,2,4,2000,offline,207
1091,server-1091,192.168.173.90,Debian 12,8,32,1000,online,262
1092,server-1092,192.168.200.49,CentOS 8,32,32,100,offline,294
1093,server-1093,192.168.157.155,Ubuntu 22.04,4,64,1000,online,30
1094,server-1094,192.168.201.230,CentOS 8,32,4,1000,maintenance,340
1095,server-1095,192.168.205.240,Ubuntu 22.04,4,4,2000,online,330
1096,server-1096,192.168.112.116,CentOS 8,8,64,1000,offline,230
1097,server-1097,192.168.1.183,CentOS 8,8,64,2000,offline,286
1098,server-1098,192.168.144.174,Windows Server 2022,32,16,2000,online,71
1099,server-1099,192.168.116.63,Windows Server 2022,8,8,2000,online,304
1100,server-1100,192.168.117.14,Ubuntu 22.04,16,16,2000,maintenance,76
1101,server-1101,192.168.80.185,Debian 12,2,16,500,offline,333
1102,server-1102,192.168.203.60,Debian 12,8,4,500,offline,131
1103,server-1103,192.168.148.90,Debian 12,4,8,1000,maintenance,47
1104,server-1104,192.168.88.225,Ubuntu 22.04,32,32,1000,online,76
1105,server-1105,192.168.225.228,Ubuntu 22.04,8,16,100,offline,223
1106,server-1106,192.168.25.232,CentOS 8,16,32,500,maintenance,49
1107,server-1107,192.168.94.15,CentOS 8,8,16,2000,offline,28
1108,server-1108,192.168.2.75,CentOS 8,2,4,1000,offline,51
1109,server-1109,192.168.27.51,Ubuntu 22.04,8,4,1000,offline,296
1110,server-1110,192.168.113.59,CentOS 8,8,8,2000,online,96
1111,server-1111,192.168.247.146,CentOS 8,16,64,1000,offline,208
1112,server-1112,192.168.128.113,Ubuntu 22.04,2,4,2000,offline,245
1113,server-1113,192.168.154.204,Windows Server 2022,2,64,500,maintenance,305
1114,server-1114,192.168.112.8,Debian 12,32,32,2000,online,154
1115,server-1115,192.168.135.198,Debian 12,32,32,1000,maintenance,165
1116,server-1116,192.168.101.2,Windows Server 2022,2,64,100,online,208
1117,server-1117,192.168.196.149,Windows Server 2022,2,64,2000,offline,27
1118,server-1118,192.168.222.87,Windows Server 2022,4,4,100,online,340
1119,server-1119,192.168.11.41,CentOS 8,32,64,1000,maintenance,282
1120,server-1120,192.168.240.173,Debian 12,4,32,2000,online,206
1121,server-1121,192.168.43.168,Debian 12,4,8,2000,offline,37
1122,server-1122,192.168.1.202,Debian 12,16,32,500,offline,109
1123,server-1123,192.168.146.212,Debian 12,8,16,2000,maintenance,78
1124,server-1124,192.168.174.63,Ubuntu 22.04,4,8,1000,online,253
1125,server-1125,192.168.72.130,Windows Server 2022,2,4,500,maintenance,139
1126,server-1126,192.168.215.103,Windows Server 2022,2,32,1000,offline,1
1127,server-1127,192.168.81.132,Debian 12,4,8,2000,maintenance,189
1128,server-1128,192.168.60.157,Windows Server 2022,32,4,500,maintenance,300
1129,server-1129,192.168.130.57,Debian 12,32,32,2000,offline,54
1130,server-1130,192.168.21.25,CentOS 8,16,4,100,offline,226
1131,server-1131,192.168.116.71,Ubuntu 22.04,2,32,2000,offline,185
1132,server-1132,192.168.150.148,Debian 12,16,16,100,online,271
1133,server-1133,192.168.48.164,Windows Server 2022,2,32,500,offline,11
1134,server-1134,192.168.209.241,Windows Server 2022,16,16,2000,offline,152
1135,server-1135,192.168.7.144,Ubuntu 22.04,32,4,2000,maintenance,94
1136,server-1136,192.168.163.136,Windows Server 2022,16,32,2000,online,130
